Date,Open,High,Low,Close,Adj Close,Volume
2015-12-08,66.989998,67.160004,66.180000,66.540001,58.241219,6866300
2015-12-09,66.300003,67.019997,65.160004,65.910004,57.689789,8578000
2015-12-10,65.980003,67.089996,65.910004,66.379997,58.101162,5768700
2015-12-11,65.379997,66.099998,64.480003,65.430000,57.269665,7572600
2015-12-14,65.629997,66.180000,64.730003,66.120003,57.873596,7371100
2015-12-15,65.459999,66.959999,65.239998,66.750000,58.425026,6061200
2015-12-16,66.220001,67.879997,66.139999,67.720001,59.274048,6747600
2015-12-17,67.180000,67.510002,64.879997,64.900002,56.805748,6800000
2015-12-18,64.599998,65.870003,64.099998,65.110001,56.989555,13490900
2015-12-21,65.589996,65.820000,64.379997,65.239998,57.103352,5311500
2015-12-22,66.250000,68.790001,66.110001,68.410004,59.878002,9697200
2015-12-23,69.589996,70.489998,68.989998,69.889999,61.173409,7586300
2015-12-24,69.750000,69.900002,69.059998,69.379997,60.727016,2322100
2015-12-28,69.120003,69.180000,68.029999,68.580002,60.026802,3884000
2015-12-29,69.220001,69.570000,68.620003,69.190002,60.560711,3539500
2015-12-30,68.660004,69.629997,68.570000,68.690002,60.123081,3158500
2015-12-31,68.449997,69.099998,67.940002,67.959999,59.484119,4356400
2016-01-04,66.879997,68.080002,65.720001,67.989998,59.510368,8586900
2016-01-05,68.379997,68.440002,66.419998,67.279999,58.888920,6139100
2016-01-06,65.980003,66.849998,65.620003,66.220001,57.961132,6639300
2016-01-07,65.080002,65.519997,63.660000,63.939999,55.965481,8601500
2016-01-08,64.330002,64.529999,62.930000,63.290001,55.396545,8278500
2016-01-11,63.669998,63.700001,60.849998,61.470001,53.803539,9669400
2016-01-12,62.439999,62.500000,60.389999,61.599998,53.917320,8593100
2016-01-13,62.070000,62.759998,60.389999,60.889999,53.295879,7237300
2016-01-14,61.240002,62.970001,60.380001,62.270000,54.503761,9241800
2016-01-15,59.520000,60.090000,58.750000,59.869999,53.059193,12674500
2016-01-19,60.259998,60.540001,58.480000,59.029999,52.996346,8501100
2016-01-20,58.080002,59.380001,56.360001,58.810001,52.798832,10857700
2016-01-21,59.000000,60.419998,58.250000,59.689999,53.588886,8798300
2016-01-22,61.230000,62.560001,60.599998,60.980000,54.747032,7815600
2016-01-25,58.959999,59.349998,57.759998,57.910000,51.990826,10971500
2016-01-26,58.400002,59.660000,58.090000,59.160000,53.113068,8141900
2016-01-27,58.430000,59.889999,57.459999,58.320000,52.358925,11013800
2016-01-28,62.009998,62.450001,58.570000,61.080002,54.836807,13567000
2016-01-29,61.689999,62.290001,60.759998,62.240002,55.878242,8221000
2016-02-01,61.970001,63.080002,61.380001,62.700001,56.291225,5955700
2016-02-02,61.279999,61.549999,60.480000,60.669998,54.468712,6282300
2016-02-03,61.470001,63.599998,59.799999,63.270000,56.802959,8332100
2016-02-04,63.599998,66.989998,63.599998,65.959999,59.218002,12598000
2016-02-05,65.669998,66.760002,65.180000,66.120003,59.361645,7463700
2016-02-08,65.419998,65.639999,63.660000,64.580002,57.979069,6315500
2016-02-09,63.900002,64.410004,63.119999,63.930000,57.395500,5638500
2016-02-10,64.269997,64.379997,62.000000,62.139999,55.788464,5955400
2016-02-11,60.910000,62.310001,60.509998,61.410000,55.133080,7055000
2016-02-12,61.990002,63.470001,61.820000,63.150002,56.695229,4297400
2016-02-16,64.160004,65.550003,63.509998,65.209999,58.544670,4819400
2016-02-17,66.000000,67.790001,65.720001,67.260002,60.385136,7373800
2016-02-18,67.150002,67.599998,65.139999,66.120003,59.361645,6175500
2016-02-19,64.919998,65.519997,64.080002,65.419998,58.733204,4994900
2016-02-22,65.419998,67.519997,65.419998,67.309998,60.430019,5787700
2016-02-23,67.110001,67.239998,65.699997,65.779999,59.056400,5599400
2016-02-24,64.699997,65.970001,63.070000,65.879997,59.146175,6439200
2016-02-25,65.889999,66.470001,64.839996,66.470001,59.675880,4277200
2016-02-26,67.389999,68.000000,66.449997,66.870003,60.035004,4149800
2016-02-29,67.139999,68.580002,66.489998,67.699997,60.780151,8643200
2016-03-01,68.440002,69.489998,67.339996,69.089996,62.028076,4451600
2016-03-02,68.750000,69.930000,68.209999,69.379997,62.288437,4801300
2016-03-03,69.620003,72.080002,69.389999,71.750000,64.416191,7172700
